h3_cell,num_sinistros,year,month
89818020c6bffff,1.0,2017,7
89818020c6bffff,0.0,2017,8
89818020c6bffff,0.0,2017,9
89818020c6bffff,0.0,2017,10
89818020c6bffff,0.0,2017,11
89818020c6bffff,0.0,2017,12
89818020c6bffff,0.0,2018,1
89818020c6bffff,0.0,2018,2
89818020c6bffff,0.0,2018,3
89818020c6bffff,0.0,2018,4
89818020c6bffff,0.0,2018,5
89818020c6bffff,0.0,2018,6
89818020c6bffff,0.0,2018,7
89818020c6bffff,0.0,2018,8
89818020c6bffff,3.0,2018,9
89818020c6bffff,1.0,2018,10
89818020c6bffff,1.0,2018,11
89818020c6bffff,2.0,2018,12
89818020c6bffff,1.0,2019,1
89818020c6bffff,1.0,2019,2
89818020c6bffff,0.0,2019,3
89818020c6bffff,1.0,2019,4
89818020c6bffff,0.0,2019,5
89818020c6bffff,0.0,2019,6
89818020c6bffff,0.0,2019,7
89818020c6bffff,2.0,2019,8
89818020c6bffff,0.0,2019,9
89818020c6bffff,0.0,2019,10
89818020c6bffff,1.0,2019,11
89818020c6bffff,0.0,2019,12
89818020c6bffff,0.0,2021,12
89818020c6bffff,0.0,2022,1
89818020c6bffff,0.0,2022,2
89818020c6bffff,0.0,2022,3
89818020c6bffff,0.0,2022,4
89818020c6bffff,0.0,2022,5
89818020c6bffff,0.0,2022,6
89818020c6bffff,0.0,2022,7
89818020c6bffff,0.0,2022,8
89818020c6bffff,0.0,2022,9
89818020c6bffff,0.0,2022,10
89818020c6bffff,0.0,2022,11
89818020c6bffff,0.0,2022,12
89818020c6bffff,2.0,2023,1
89818020c6bffff,0.0,2023,2
89818020c6bffff,0.0,2023,3
89818020c6bffff,0.0,2023,4
89818020c6bffff,0.0,2023,5
89818020c6bffff,0.0,2023,6
89818020c6bffff,0.0,2023,7
89818020c6bffff,0.0,2023,8
89818020c6bffff,0.0,2023,9
89818020c6bffff,0.0,2023,10
89818020c6bffff,0.0,2023,11
89818020c6bffff,0.0,2023,12
89818020c6bffff,0.0,2024,1
89818020c6bffff,0.0,2024,2
89818020c6bffff,0.0,2024,3
89818020c6bffff,0.0,2024,4
89818020c6bffff,0.0,2024,5
89818020c6bffff,0.0,2024,6
89818020c6bffff,0.0,2024,7
89818020c6bffff,1.0,2024,8
89818020c6bffff,0.0,2024,9
89818020c6bffff,0.0,2024,10
89818020c6bffff,0.0,2024,11
89818020c6bffff,0.0,2024,12
89818020c6bffff,0.0,2025,12
89818020e87ffff,0.0,2015,6
89818020e87ffff,0.0,2015,7
89818020e87ffff,0.0,2015,8
89818020e87ffff,0.0,2015,9
89818020e87ffff,0.0,2015,10
89818020e87ffff,0.0,2015,11
89818020e87ffff,0.0,2015,12
89818020e87ffff,0.0,2016,1
89818020e87ffff,0.0,2016,2
89818020e87ffff,0.0,2016,3
89818020e87ffff,0.0,2016,4
89818020e87ffff,0.0,2016,5
89818020e87ffff,0.0,2016,6
89818020e87ffff,0.0,2016,7
89818020e87ffff,0.0,2016,8
89818020e87ffff,0.0,2016,9
89818020e87ffff,0.0,2016,10
89818020e87ffff,0.0,2016,11
89818020e87ffff,0.0,2016,12
89818020e87ffff,0.0,2017,1
89818020e87ffff,0.0,2017,2
89818020e87ffff,0.0,2017,3
89818020e87ffff,0.0,2017,4
89818020e87ffff,0.0,2017,5
89818020e87ffff,0.0,2017,6
89818020e87ffff,0.0,2017,7
89818020e87ffff,0.0,2017,8
89818020e87ffff,0.0,2017,9
89818020e87ffff,0.0,2017,10
89818020e87ffff,0.0,2017,11
89818020e87ffff,0.0,2017,12
89818020e87ffff,0.0,2018,1
89818020e87ffff,0.0,2018,2
89818020e87ffff,0.0,2018,3
89818020e87ffff,0.0,2018,4
89818020e87ffff,0.0,2018,5
89818020e87ffff,0.0,2018,6
89818020e87ffff,0.0,2018,7
89818020e87ffff,0.0,2018,8
89818020e87ffff,0.0,2018,9
89818020e87ffff,0.0,2018,10
89818020e87ffff,0.0,2018,11
89818020e87ffff,0.0,2018,12
89818020e87ffff,0.0,2019,1
89818020e87ffff,0.0,2019,2
89818020e87ffff,0.0,2019,3
89818020e87ffff,0.0,2019,4
89818020e87ffff,0.0,2019,5
89818020e87ffff,0.0,2019,6
89818020e87ffff,0.0,2019,7
89818020e87ffff,0.0,2019,8
89818020e87ffff,0.0,2019,9
89818020e87ffff,0.0,2019,10
89818020e87ffff,1.0,2019,11
89818020e87ffff,0.0,2019,12
89818020e87ffff,0.0,2021,12
89818020e87ffff,0.0,2022,1
89818020e87ffff,0.0,2022,2
89818020e87ffff,0.0,2022,3
89818020e87ffff,0.0,2022,4
89818020e87ffff,1.0,2022,5
89818020e87ffff,0.0,2022,6
89818020e87ffff,0.0,2022,7
89818020e87ffff,0.0,2022,8
89818020e87ffff,0.0,2022,9
89818020e87ffff,0.0,2022,10
89818020e87ffff,0.0,2022,11
89818020e87ffff,0.0,2022,12
89818020e87ffff,0.0,2023,1
89818020e87ffff,0.0,2023,2
89818020e87ffff,0.0,2023,3
89818020e87ffff,0.0,2023,4
89818020e87ffff,0.0,2023,5
89818020e87ffff,0.0,2023,6
89818020e87ffff,0.0,2023,7
89818020e87ffff,0.0,2023,8
89818020e87ffff,0.0,2023,9
89818020e87ffff,0.0,2023,10
89818020e87ffff,0.0,2023,11
89818020e87ffff,0.0,2023,12
89818020e87ffff,0.0,2024,1
89818020e87ffff,0.0,2024,2
89818020e87ffff,0.0,2024,3
89818020e87ffff,0.0,2024,4
89818020e87ffff,0.0,2024,5
89818020e87ffff,0.0,2024,6
89818020e87ffff,0.0,2024,7
89818020e87ffff,0.0,2024,8
89818020e87ffff,0.0,2024,9
89818020e87ffff,0.0,2024,10
89818020e87ffff,0.0,2024,11
89818020e87ffff,0.0,2024,12
89818020e87ffff,0.0,2025,12
8981806488fffff,0.0,2015,6
8981806488fffff,0.0,2015,7
8981806488fffff,0.0,2015,8
8981806488fffff,0.0,2015,9
8981806488fffff,0.0,2015,10
8981806488fffff,0.0,2015,11
8981806488fffff,0.0,2015,12
8981806488fffff,0.0,2016,1
8981806488fffff,0.0,2016,2
8981806488fffff,0.0,2016,3
8981806488fffff,0.0,2016,4
8981806488fffff,0.0,2016,5
8981806488fffff,0.0,2016,6
8981806488fffff,0.0,2016,7
8981806488fffff,0.0,2016,8
8981806488fffff,0.0,2016,9
8981806488fffff,0.0,2016,10
8981806488fffff,0.0,2016,11
8981806488fffff,0.0,2016,12
8981806488fffff,0.0,2017,1
8981806488fffff,0.0,2017,2
8981806488fffff,0.0,2017,3
8981806488fffff,0.0,2017,4
8981806488fffff,0.0,2017,5
8981806488fffff,0.0,2017,6
8981806488fffff,0.0,2017,7
8981806488fffff,0.0,2017,8
8981806488fffff,0.0,2017,9
8981806488fffff,0.0,2017,10
8981806488fffff,0.0,2017,11
8981806488fffff,0.0,2017,12
8981806488fffff,0.0,2018,1
8981806488fffff,0.0,2018,2
8981806488fffff,0.0,2018,3
8981806488fffff,0.0,2018,4
8981806488fffff,0.0,2018,5
8981806488fffff,0.0,2018,6
8981806488fffff,0.0,2018,7
8981806488fffff,0.0,2018,8
8981806488fffff,0.0,2018,9
8981806488fffff,0.0,2018,10
8981806488fffff,0.0,2018,11
8981806488fffff,0.0,2018,12
8981806488fffff,0.0,2019,1
8981806488fffff,0.0,2019,2
8981806488fffff,0.0,2019,3
8981806488fffff,0.0,2019,4
8981806488fffff,0.0,2019,5
8981806488fffff,0.0,2019,6
8981806488fffff,0.0,2019,7
8981806488fffff,0.0,2019,8
8981806488fffff,1.0,2019,9
8981806488fffff,0.0,2019,10
8981806488fffff,0.0,2019,11
8981806488fffff,0.0,2019,12
8981806488fffff,0.0,2021,12
8981806488fffff,0.0,2022,1
8981806488fffff,0.0,2022,2
8981806488fffff,0.0,2022,3
8981806488fffff,0.0,2022,4
8981806488fffff,0.0,2022,5
8981806488fffff,0.0,2022,6
8981806488fffff,0.0,2022,7
8981806488fffff,0.0,2022,8
8981806488fffff,0.0,2022,9
8981806488fffff,0.0,2022,10
8981806488fffff,0.0,2022,11
8981806488fffff,0.0,2022,12
8981806488fffff,0.0,2023,1
8981806488fffff,0.0,2023,2
8981806488fffff,0.0,2023,3
8981806488fffff,0.0,2023,4
8981806488fffff,0.0,2023,5
8981806488fffff,0.0,2023,6
8981806488fffff,0.0,2023,7
8981806488fffff,0.0,2023,8
8981806488fffff,0.0,2023,9
8981806488fffff,0.0,2023,10
8981806488fffff,0.0,2023,11
8981806488fffff,0.0,2023,12
8981806488fffff,0.0,2024,1
8981806488fffff,0.0,2024,2
8981806488fffff,0.0,2024,3
8981806488fffff,0.0,2024,4
8981806488fffff,0.0,2024,5
8981806488fffff,0.0,2024,6
8981806488fffff,0.0,2024,7
8981806488fffff,0.0,2024,8
8981806488fffff,0.0,2024,9
8981806488fffff,0.0,2024,10
8981806488fffff,0.0,2024,11
8981806488fffff,0.0,2024,12
8981806488fffff,0.0,2025,12
89818065907ffff,3.0,2015,6
89818065907ffff,0.0,2015,7
89818065907ffff,0.0,2015,8
89818065907ffff,1.0,2015,9
89818065907ffff,0.0,2015,10
89818065907ffff,3.0,2015,11
89818065907ffff,0.0,2015,12
89818065907ffff,1.0,2016,1
89818065907ffff,0.0,2016,2
89818065907ffff,0.0,2016,3
89818065907ffff,1.0,2016,4
89818065907ffff,1.0,2016,5
89818065907ffff,0.0,2016,6
89818065907ffff,0.0,2016,7
89818065907ffff,1.0,2016,8
89818065907ffff,0.0,2016,9
89818065907ffff,1.0,2016,10
89818065907ffff,0.0,2016,11
89818065907ffff,1.0,2016,12
89818065907ffff,0.0,2017,1
89818065907ffff,0.0,2017,2
89818065907ffff,0.0,2017,3
89818065907ffff,1.0,2017,4
89818065907ffff,0.0,2017,5
89818065907ffff,0.0,2017,6
89818065907ffff,0.0,2017,7
89818065907ffff,0.0,2017,8
89818065907ffff,1.0,2017,9
89818065907ffff,1.0,2017,10
89818065907ffff,0.0,2017,11
89818065907ffff,1.0,2017,12
89818065907ffff,1.0,2018,1
89818065907ffff,0.0,2018,2
89818065907ffff,0.0,2018,3
89818065907ffff,1.0,2018,4
89818065907ffff,1.0,2018,5
89818065907ffff,0.0,2018,6
89818065907ffff,1.0,2018,7
89818065907ffff,1.0,2018,8
89818065907ffff,0.0,2018,9
89818065907ffff,1.0,2018,10
89818065907ffff,0.0,2018,11
89818065907ffff,0.0,2018,12
89818065907ffff,0.0,2019,1
89818065907ffff,0.0,2019,2
89818065907ffff,1.0,2019,3
89818065907ffff,1.0,2019,4
89818065907ffff,0.0,2019,5
89818065907ffff,0.0,2019,6
89818065907ffff,1.0,2019,7
89818065907ffff,0.0,2019,8
89818065907ffff,0.0,2019,9
89818065907ffff,1.0,2019,10
89818065907ffff,1.0,2019,11
89818065907ffff,1.0,2019,12
89818065907ffff,0.0,2021,12
89818065907ffff,0.0,2022,1
89818065907ffff,0.0,2022,2
89818065907ffff,0.0,2022,3
89818065907ffff,0.0,2022,4
89818065907ffff,0.0,2022,5
89818065907ffff,0.0,2022,6
89818065907ffff,0.0,2022,7
89818065907ffff,0.0,2022,8
89818065907ffff,0.0,2022,9
89818065907ffff,0.0,2022,10
89818065907ffff,0.0,2022,11
89818065907ffff,0.0,2022,12
89818065907ffff,0.0,2023,1
89818065907ffff,0.0,2023,2
89818065907ffff,1.0,2023,3
89818065907ffff,0.0,2023,4
89818065907ffff,0.0,2023,5
89818065907ffff,0.0,2023,6
89818065907ffff,1.0,2023,7
89818065907ffff,0.0,2023,8
89818065907ffff,0.0,2023,9
89818065907ffff,0.0,2023,10
